Barriendo 26,460 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
   21475/26460  (1874s)
   21500/26460  (1876s)
   21525/26460  (1880s)
   21550/26460  (1884s)
   21575/26460  (1888s)
   21600/26460  (1891s)
   21625/26460  (1894s)
   21650/26460  (1899s)
   21675/26460  (1899s)
   21700/26460  (1901s)
   21725/26460  (1901s)
   21750/26460  (1903s)
   21775/26460  (1903s)
   21800/26460  (1904s)
   21825/26460  (1906s)
   21850/26460  (1907s)
   21875/26460  (1907s)
   21900/26460  (1908s)
   21925/26460  (1909s)
   21950/26460  (1910s)
   21975/26460  (1911s)
   22000/26460  (1913s)
   22025/26460  (1914s)
   22050/26460  (1916s)
   22075/26460  (1917s)
   22100/26460  (1918s)
   22125/26460  (1920s)
   22150/26460  (1921s)
   22175/26460  (1923s)
   22200/26460  (1924s)
   22225/26460  (1927s)
   22250/26460  (1929s)
   22275/26460  (1931s)
   22300/26460  (1934s)
   22325/26460  (1937s)
   22350/26460  (1940s)
   22375/26460  (1941s)
   22400/26460  (1942s)
   22425/26460  (1943s)
   22450/26460  (1944s)
   22475/26460  (1945s)
   22500/26460  (1947s)
   22525/26460  (1949s)
   22550/26460  (1952s)
   22575/26460  (1953s)
   22600/26460  (1958s)
   22625/26460  (1963s)
   22650/26460  (1966s)
   22675/26460  (1968s)
   22700/26460  (1971s)
   22725/26460  (1973s)
   22750/26460  (1974s)
   22775/26460  (1976s)
   22800/26460  (1980s)
   22825/26460  (1982s)
   22850/26460  (1984s)
   22875/26460  (1986s)
   22900/26460  (1989s)
   22925/26460  (1994s)
   22950/26460  (1996s)
   22975/26460  (1999s)
   23000/26460  (2001s)
   23025/26460  (2004s)
   23050/26460  (2006s)
   23075/26460  (2007s)
   23100/26460  (2009s)
   23125/26460  (2010s)
   23150/26460  (2012s)
   23175/26460  (2014s)
   23200/26460  (2017s)
   23225/26460  (2020s)
   23250/26460  (2022s)
   23275/26460  (2025s)
   23300/26460  (2028s)
   23325/26460  (2029s)
   23350/26460  (2031s)
   23375/26460  (2032s)
   23400/26460  (2034s)
   23425/26460  (2036s)
   23450/26460  (2039s)
   23475/26460  (2041s)
   23500/26460  (2042s)
   23525/26460  (2043s)
   23550/26460  (2046s)
   23575/26460  (2048s)
   23600/26460  (2050s)
   23625/26460  (2052s)
   23650/26460  (2054s)
   23675/26460  (2056s)
   23700/26460  (2058s)
   23725/26460  (2061s)
   23750/26460  (2062s)
   23775/26460  (2064s)
   23800/26460  (2065s)
   23825/26460  (2066s)
   23850/26460  (2069s)
   23875/26460  (2070s)
   23900/26460  (2072s)
   23925/26460  (2074s)
   23950/26460  (2076s)
   23975/26460  (2078s)
   24000/26460  (2080s)
   24025/26460  (2082s)
   24050/26460  (2083s)
   24075/26460  (2085s)
   24100/26460  (2088s)
   24125/26460  (2091s)
   24150/26460  (2093s)
   24175/26460  (2095s)
   24200/26460  (2096s)
   24225/26460  (2099s)
   24250/26460  (2102s)
   24275/26460  (2103s)
   24300/26460  (2105s)
   24325/26460  (2107s)
   24350/26460  (2110s)
   24375/26460  (2111s)
   24400/26460  (2113s)
   24425/26460  (2115s)
   24450/26460  (2117s)
   24475/26460  (2119s)
   24500/26460  (2121s)
   24525/26460  (2123s)
   24550/26460  (2124s)
   24575/26460  (2125s)
   24600/26460  (2127s)
   24625/26460  (2128s)
   24650/26460  (2129s)
   24675/26460  (2130s)
   24700/26460  (2131s)
   24725/26460  (2132s)
   24750/26460  (2133s)
   24775/26460  (2135s)
   24800/26460  (2136s)
   24825/26460  (2137s)
   24850/26460  (2138s)
   24875/26460  (2140s)
   24900/26460  (2141s)
   24925/26460  (2142s)
   24950/26460  (2143s)
   24975/26460  (2145s)
   25000/26460  (2147s)
   25025/26460  (2149s)
   25050/26460  (2151s)
   25075/26460  (2154s)
   25100/26460  (2155s)
   25125/26460  (2157s)
   25150/26460  (2159s)
   25175/26460  (2161s)
   25200/26460  (2162s)
   25225/26460  (2163s)
   25250/26460  (2164s)
   25275/26460  (2165s)
   25300/26460  (2168s)
   25325/26460  (2169s)
   25350/26460  (2171s)
   25375/26460  (2173s)
   25400/26460  (2176s)
   25425/26460  (2180s)
   25450/26460  (2184s)
   25475/26460  (2185s)
   25500/26460  (2186s)
   25525/26460  (2188s)
   25550/26460  (2190s)
   25575/26460  (2192s)
   25600/26460  (2196s)
   25625/26460  (2198s)
   25650/26460  (2200s)
   25675/26460  (2203s)
   25700/26460  (2205s)
   25725/26460  (2208s)
   25750/26460  (2211s)
   25775/26460  (2213s)
   25800/26460  (2215s)
   25825/26460  (2218s)
   25850/26460  (2220s)
   25875/26460  (2222s)
   25900/26460  (2223s)
   25925/26460  (2225s)
   25950/26460  (2226s)
   25975/26460  (2227s)
   26000/26460  (2228s)
   26025/26460  (2229s)
   26050/26460  (2231s)
   26075/26460  (2233s)
   26100/26460  (2235s)
   26125/26460  (2236s)
   26150/26460  (2239s)
   26175/26460  (2242s)
   26200/26460  (2247s)
   26225/26460  (2253s)
   26250/26460  (2259s)
   26275/26460  (2262s)
   26300/26460  (2264s)
   26325/26460  (2268s)
   26350/26460  (2269s)
   26375/26460  (2272s)
   26400/26460  (2273s)
   26425/26460  (2277s)
   26450/26460  (2282s)
   26460/26460  (2288s)

Escrito sw_5v6.csv (26,460 filas, 2288s)
  white    15,891  (60.1%)
  black     9,566  (36.2%)
  draw        982  (3.7%)
  unknown      21  (0.1%)
