white,black,regla,ve,gana1,gana2,sindef,turnos
12334,23455,fijo,2,34.13,65.87,0.00,10.10
12334,23455,libre,2,39.37,60.63,0.00,9.83
12334,24455,fijo,2,32.57,67.43,0.00,9.92
12334,24455,libre,2,35.37,64.63,0.00,9.71
12334,33445,fijo,2,31.17,68.83,0.00,9.88
12334,33445,libre,2,33.63,66.37,0.00,9.83
12334,33455,fijo,2,30.90,69.10,0.00,9.88
12334,33455,libre,2,35.03,64.97,0.00,9.74
12334,34455,fijo,2,28.47,71.53,0.00,9.81
12334,34455,libre,2,31.37,68.63,0.00,9.62
12344,11225,fijo,2,70.63,28.83,0.53,10.39
12344,11225,libre,2,72.30,27.27,0.43,9.93
12344,11235,fijo,2,64.27,35.03,0.70,10.53
12344,11235,libre,2,66.10,33.30,0.60,10.17
12344,11245,fijo,2,54.67,44.60,0.73,10.66
12344,11245,libre,2,57.43,41.80,0.77,10.27
12344,11255,fijo,2,53.10,45.90,1.00,10.64
12344,11255,libre,2,56.10,43.50,0.40,10.10
12344,11335,fijo,2,61.40,38.30,0.30,10.49
12344,11335,libre,2,63.40,36.00,0.60,10.19
12344,11345,fijo,2,49.50,49.80,0.70,10.77
12344,11345,libre,2,53.77,45.73,0.50,10.22
12344,11355,fijo,2,48.33,51.00,0.67,10.48
12344,11355,libre,2,52.57,47.10,0.33,10.06
12344,11445,fijo,2,43.00,56.93,0.07,10.36
12344,11445,libre,2,46.80,53.13,0.07,9.94
12344,11455,fijo,2,40.10,59.90,0.00,10.21
12344,11455,libre,2,45.77,54.23,0.00,9.87
12344,12235,fijo,2,63.00,36.37,0.63,10.57
12344,12235,libre,2,64.20,35.13,0.67,10.14
12344,12245,fijo,2,52.43,47.00,0.57,10.66
12344,12245,libre,2,55.77,43.83,0.40,10.12
12344,12255,fijo,2,52.33,46.90,0.77,10.46
12344,12255,libre,2,54.73,44.90,0.37,9.93
12344,12335,fijo,2,59.00,40.17,0.83,10.68
12344,12335,libre,2,61.50,37.90,0.60,10.10
12344,12345,fijo,2,46.70,52.63,0.67,10.56
12344,12345,libre,2,52.83,46.57,0.60,10.10
12344,12355,fijo,2,48.03,51.40,0.57,10.46
12344,12355,libre,2,52.07,47.67,0.27,9.93
